"P.MPa","mass.g","leaf.mass.g","offset.mass.g","keep","time","note","eTLP","xTLP","a","b","c","d"
1.25,0.5248,0.527,0,TRUE,"54:26.1",NA,NA,NA,NA,NA,NA,NA
1.05,0.5228,0.5228,0,TRUE,"2025-06-17 06:00:00.507553",NA,NA,NA,NA,NA,NA,NA
1.15,0.5211,0.5211,0,TRUE,"2025-06-17 06:05:25.947269",NA,NA,NA,NA,NA,NA,NA
1.2,0.5188,0.5188,0,TRUE,"2025-06-17 06:12:06.67699",NA,NA,NA,NA,NA,NA,NA
1.25,0.5167,0.5167,0,TRUE,"2025-06-17 06:21:13.549236",NA,NA,NA,NA,NA,NA,NA
1.42,0.513,0.513,0,TRUE,"2025-06-17 06:38:40.34058",NA,NA,NA,NA,NA,NA,NA
2.32,0.5035,0.5035,0,TRUE,"2025-06-17 07:22:10.162019",NA,NA,NA,-0.598621521044711,201.316635151461,0.380715450564493,-51.5141650996469
2.41,0.4983,0.4983,0,TRUE,"2025-06-17 07:45:34.127185",NA,NA,NA,NA,NA,NA,NA
2.5,0.4935,0.4935,0,TRUE,"2025-06-17 08:17:21.073023",NA,NA,NA,NA,NA,NA,NA
2.65,0.4881,0.4881,0,TRUE,"2025-06-17 08:57:14.588208",NA,NA,NA,NA,NA,NA,NA
2.85,0.4826,0.4826,0,TRUE,"2025-06-17 09:41:43.085186",NA,NA,NA,NA,NA,NA,NA
3.05,0.4703,0.4693,0,TRUE,"2025-06-17 11:15:14.315654",NA,NA,NA,NA,NA,NA,NA
3.4,0.4575,0.4575,0,TRUE,"2025-06-18 09:35:35.201676",NA,NA,NA,NA,NA,NA,NA
3.63,0.4457,0.4457,0,TRUE,"2025-06-18 11:07:18.932467",NA,NA,NA,NA,NA,NA,NA
3.74,0.4377,0.4377,0,TRUE,"2025-06-18 12:23:23.491707",NA,NA,NA,7.28088965376234,9.14297839189957,-7.2806695294831,31.0990011251992
4.03,0.4275,0.4275,0,TRUE,"2025-06-18 14:32:40.521924"," ",NA,NA,2.49562807120314,17.8297384998486,-2.49023406233906,7.25894905776844
