sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,keep,note
LATR_1,1,1.11,4.7327,0,4.7327,0,TRUE,NA
LATR_1,1,1.36,4.719,0.013700000000000045,4.719,0,TRUE,NA
LATR_1,1,1.57,4.686,0.04670000000000041,4.686,0,TRUE,NA
LATR_1,1,1.71,4.6555,0.07720000000000038,4.6555,0,TRUE,NA
LATR_1,1,1.98,4.6088,0.12390000000000079,4.6088,0,TRUE,NA
LATR_1,1,2.27,4.5544,0.17830000000000013,4.5544,0,TRUE,"pv(""latr_2"", plotonly = T)"
LATR_1,1,2.62,4.5095,0.2232000000000003,4.5095,0,TRUE,NA
LATR_1,1,2.91,4.4604,0.27230000000000043,4.4604,0,TRUE,NA
LATR_1,1,3.38,4.3749,0.3578000000000001,4.3749,0,TRUE,NA
LATR_1,1,3.49,4.3014,0.43130000000000024,4.3014,0,TRUE,NA
LATR_1,1,3.77,4.2159,0.5167999999999999,4.2159,0,TRUE,NA
LATR_1,1,4.18,4.1541,0.5786000000000007,4.1541,0,TRUE,NA
LATR_1,1,4.44,4.0956,0.6371000000000002,4.0956,0,TRUE,NA
LATR_1,1,4.73,4.0515,0.6812000000000005,4.0515,0,TRUE,"pv(""latr_3"", plotonly = T)"
LATR_1,1,4.95,3.9461,0.7866000000000004,3.9461,0,TRUE,NA
LATR_2,2,1.09,2.2643,0,2.2643,0,TRUE,NA
LATR_2,2,1.32,2.2396,0.024700000000000166,2.2396,0,TRUE,NA
LATR_2,2,1.49,2.2253,0.039000000000000146,2.2253,0,TRUE,NA
LATR_2,2,1.97,2.2023,0.06199999999999983,2.2023,0,TRUE,NA
LATR_2,2,2.32,2.1774,0.08689999999999998,2.1774,0,TRUE,NA
LATR_2,2,2.77,2.1452,0.11909999999999998,2.1452,0,TRUE,NA
LATR_2,2,3.12,1.9705,0.29380000000000006,1.9705,0,FALSE,NA
LATR_2,2,3.12,2.1054,0.15890000000000004,2.1054,0,TRUE,NA
LATR_2,2,3.4,2.0605,0.20379999999999976,2.0605,0,TRUE,NA
LATR_2,2,3.72,2.0152,0.24909999999999988,2.0152,0,TRUE,NA
LATR_2,2,3.92,1.9691,0.2951999999999999,1.9691,0,TRUE,NA
LATR_2,2,4.32,1.9294,0.3349,1.9294,0,TRUE,NA
LATR_2,2,4.72,1.9004,0.3638999999999999,1.9004,0,TRUE,NA
LATR_2,2,6.79,1.8553,0.40900000000000003,1.8553,0,TRUE,NA
LATR_3,3,1.47,3.4973,0,3.4973,0,TRUE,NA
LATR_3,3,1.66,3.4652,0.03210000000000024,3.4652,0,TRUE,NA
LATR_3,3,1.85,3.4482,0.049100000000000144,3.4482,0,TRUE,NA
LATR_3,3,2.09,3.4233,0.07400000000000029,3.4233,0,TRUE,NA
LATR_3,3,2.39,3.3846,0.11270000000000024,3.3846,0,TRUE,NA
LATR_3,3,2.7,3.3484,0.14890000000000025,3.3484,0,TRUE,NA
LATR_3,3,2.92,3.3089,0.18840000000000012,3.3089,0,TRUE,NA
LATR_3,3,3.25,3.2553,0.242,3.2553,0,TRUE,NA
LATR_3,3,3.37,3.1982,0.29910000000000014,3.1982,0,TRUE,NA
LATR_3,3,3.66,3.1352,0.36209999999999987,3.1352,0,TRUE,NA
LATR_3,3,3.97,3.0775,0.41979999999999995,3.0775,0,TRUE,NA
LATR_3,3,4.17,3.0371,0.46019999999999994,3.0371,0,TRUE,NA
LATR_3,3,4.58,2.9918,0.5055000000000001,2.9918,0,TRUE,NA
LATR_3,3,5.13,2.8621,0.6352000000000002,2.8621,0,TRUE,NA
LATR_4,4,1.39,3.2939,0,3.2939,0,TRUE,NA
LATR_4,4,1.59,3.2533,0.04059999999999997,3.2429,0.0104,TRUE,NA
LATR_4,4,1.82,3.2261,0.06779999999999964,3.2157,0.0104,TRUE,NA
LATR_4,4,2.01,3.2165,0.07739999999999991,3.2061,0.0104,TRUE,NA
LATR_4,4,2.23,3.188,0.10589999999999966,3.1776,0.0104,TRUE,NA
LATR_4,4,2.71,3.1513,0.14259999999999984,3.1409,0.0104,TRUE,NA
LATR_4,4,3.09,3.1222,0.17169999999999996,3.1118,0.0104,TRUE,NA
LATR_4,4,3.58,2.9654,0.3285,2.955,0.0104,TRUE,NA
LATR_4,4,3.69,2.9072,0.3866999999999998,2.8968,0.0104,TRUE,NA
LATR_4,4,4.03,2.8334,0.4604999999999997,2.823,0.0104,TRUE,NA
LATR_4,4,4.34,2.773,0.5208999999999997,2.7626,0.0104,TRUE,NA
LATR_4,4,4.49,2.7256,0.5682999999999998,2.7152,0.0104,TRUE,NA
LATR_4,4,4.74,2.691,0.6029,2.6806,0.0104,TRUE,NA
LATR_4,4,5.23,2.6086,0.6852999999999998,2.5982,0.0104,TRUE,NA
LATR_5,5,1.53,3.3954,0,3.3954,0,TRUE,NA
LATR_5,5,1.72,3.3233,0.07209999999999983,3.3233,0,FALSE,NA
LATR_5,5,1.77,3.3042,0.09120000000000017,3.3042,0,FALSE,NA
LATR_5,5,1.99,3.2982,0.09719999999999995,3.2862,0,TRUE,NA
LATR_5,5,2.39,3.256,0.1394000000000002,3.256,0,TRUE,NA
LATR_5,5,2.65,3.2108,0.1846000000000001,3.2108,0,TRUE,NA
LATR_5,5,3.1,3.1363,0.2591000000000001,3.1363,0,TRUE,NA
LATR_5,5,3.36,3.0862,0.30920000000000014,3.0862,0,TRUE,NA
LATR_5,5,3.56,3.025,0.37040000000000006,3.025,0,TRUE,NA
LATR_5,5,3.66,2.9758,0.4196,2.9758,0,TRUE,NA
LATR_5,5,4,2.932,0.46340000000000003,2.932,0,TRUE,NA
LATR_5,5,4.31,2.8975,0.4979,2.8975,0,TRUE,NA
LATR_5,5,4.68,2.7929,0.6025,2.7929,0,TRUE,NA
LATR_5,5,4.95,2.7492,0.6461999999999999,2.7492,0,TRUE,NA
LATR_6,6,1.1,4.7907,0,4.7907,0,TRUE,NA
LATR_6,6,1.26,4.7428,0.047900000000000276,4.7428,0,TRUE,NA
LATR_6,6,1.46,4.6908,0.09989999999999988,4.6908,0,TRUE,NA
LATR_6,6,1.64,4.6664,0.12429999999999986,4.6664,0,TRUE,NA
LATR_6,6,1.75,4.6276,0.16310000000000002,4.6276,0,TRUE,NA
LATR_6,6,2.35,4.526,0.2647000000000004,4.526,0,TRUE,NA
LATR_6,6,2.75,4.4677,0.3230000000000004,4.4677,0,TRUE,NA
LATR_6,6,3.07,4.425,0.36570000000000036,4.425,0,TRUE,NA
LATR_6,6,3.4,4.3128,0.4779,4.3128,0,TRUE,NA
LATR_6,6,3.53,4.2232,0.5674999999999999,4.2232,0,TRUE,NA
LATR_6,6,3.93,4.1018,0.6889000000000003,4.1018,0,TRUE,NA
LATR_6,6,4.18,3.9822,0.8085,3.9822,0,TRUE,NA
LATR_6,6,4.54,3.908,0.8827000000000003,3.908,0,TRUE,NA
LATR_6,6,4.72,3.8705,0.9202000000000004,3.8705,0,TRUE,NA
LATR_6,6,5.01,3.7612,1.0295,3.7612,0,TRUE,NA
