sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,keep,time,note,dry_mass,wc,sat_mass_est,rwc
LATR_1,1,1.36,6.0721,0,6.0721,0,TRUE,10/27/2023 8:34,NA,2.8602,1.1229634291308301,6.430387009022345,0.8996447502282358
LATR_1,1,1.56,6.0321,0.040000000000000036,6.0321,0,TRUE,10/27/2023 8:38,NA,2.8602,1.1089783931193624,6.430387009022345,0.8884408553345188
LATR_1,1,1.91,5.9374,0.1346999999999996,5.9374,0,TRUE,10/27/2023 10:53,NA,2.8602,1.0758688203622127,6.430387009022345,0.8619156341736441
LATR_1,1,2.36,5.8484,0.2237,5.8484,0,TRUE,10/27/2023 11:10,"pv(""latr_3"")",2.8602,1.0447521152366968,6.430387009022345,0.8369869680351238
LATR_1,1,2.72,5.7559,0.31620000000000026,5.7559,0,TRUE,10/27/2023 11:25,NA,2.8602,1.0124117194601776,6.430387009022345,0.8110779610934034
LATR_1,1,2.9,5.6534,0.4186999999999994,5.6534,0,TRUE,10/27/2023 11:48,NA,2.8602,0.9765750646807918,6.430387009022345,0.7823679804282538
LATR_1,1,3.59,5.3185,0.7535999999999996,5.3185,0,TRUE,10/27/2023 13:54,NA,2.8602,0.8594853506747782,6.430387009022345,0.6885633704306088
LATR_1,1,3.97,5.2152,0.8568999999999996,5.2152,0,TRUE,10/27/2023 14:55,NA,2.8602,0.8233689951751628,6.430387009022345,0.6596293118675848
LATR_1,1,4.56,5.0222,1.0499,5.0222,0,TRUE,10/30/2023 8:15,NA,2.8602,0.7558911964198308,6.430387009022345,0.6055705190054005
LATR_1,1,4.82,4.9437,1.1284,4.9437,0,TRUE,10/30/2023 9:03,NA,2.8602,0.7284455632473253,6.430387009022345,0.5835828752764809
LATR_1,1,5.39,4.745,1.3270999999999997,4.745,0,TRUE,10/30/2023 12:25,NA,2.8602,0.6589748968603595,6.430387009022345,0.5279275273919422
LATR_1,1,5.84,4.6026,1.4695,4.6026,0,TRUE,10/30/2023 15:45,NA,2.8602,0.6091881686595343,6.430387009022345,0.48804166157030976
LATR_2,2,0.59,2.3044,0,2.3044,0,TRUE,1698406342,NA,1.0059,1.2908837856645787,2.377339439217259,0.9468154136949065
LATR_2,2,0.99,2.278,0.026399999999999757,2.278,0,TRUE,1698406678,NA,1.0059,1.2646386320707823,2.377339439217259,0.9275655662389609
LATR_2,2,1.54,2.2301,0.07429999999999959,2.2301,0,TRUE,1698407644,NA,1.0059,1.2170195844517349,2.377339439217259,0.8926387596806353
LATR_2,2,1.93,2.1981,0.10629999999999962,2.1981,0,TRUE,1698408419,NA,1.0059,1.1852072770653148,2.377339439217259,0.8693056112491859
LATR_2,2,2.86,2.0732,0.23119999999999985,2.0732,0,TRUE,1698414494,"pv(""latr_1"")",1.0059,1.0610398647976935,2.377339439217259,0.7782334162776849
LATR_2,2,3.6,1.9588,0.3455999999999997,1.9588,0,TRUE,1698416889,NA,1.0059,0.9473108658912417,2.377339439217259,0.6948174106352535
LATR_2,2,3.98,1.9229,0.38149999999999973,1.9229,0,TRUE,1698418816,NA,1.0059,0.9116214335421017,2.377339439217259,0.6686405347387212
LATR_2,2,4.06,1.9065,0.3978999999999997,1.9065,0,TRUE,1698420113,NA,1.0059,0.8953176260065614,2.377339439217259,0.6566822961676034
LATR_2,2,4.98,1.7718,0.5325999999999997,1.7718,0,TRUE,1698654328,NA,1.0059,0.7614076946018491,2.377339439217259,0.5584643244889712
LATR_2,2,6.65,1.5996,0.7047999999999999,1.5996,0,TRUE,1698668750,NA,1.0059,0.5902177154786757,2.377339439217259,0.43290281949223414
LATR_3,3,1.13,1.9269,0.06410000000000005,1.9269,0,TRUE,10/27/2023 11:13,NA,0.9365,1.0575547250400428,2.002599161065015,0.9289942588554401
LATR_3,3,1.3,1.9164,0.0746,1.9164,0,TRUE,10/27/2023 11:22,NA,0.9365,1.046342765616658,2.002599161065015,0.9191452688332449
LATR_3,3,1.46,1.8967,0.09430000000000005,1.8967,0,TRUE,10/27/2023 11:43,NA,0.9365,1.025306994127069,2.002599161065015,0.9006666875535072
LATR_3,3,1.7,1.8845,0.10650000000000004,1.8845,0,TRUE,10/27/2023 11:58,NA,0.9365,1.012279765082755,2.002599161065015,0.8892230991467661
LATR_3,3,2.56,1.8341,0.15690000000000004,1.8341,0,TRUE,10/27/2023 13:55,NA,0.9365,0.9584623598505073,2.002599161065015,0.8419479470402292
LATR_3,3,2.87,1.8013,0.1897000000000002,1.8013,0,TRUE,10/27/2023 14:34,NA,0.9365,0.9234383342231712,2.002599161065015,0.8111815782089907
LATR_3,3,3.15,1.7789,0.21210000000000018,1.7789,0,TRUE,2023-10-27 15:01:59,NA,0.9365,0.8995194874532835,2.002599161065015,0.7901703994949744
LATR_3,3,4.13,1.6605,0.3305,1.6605,0,TRUE,2023-10-30 08:32:26,NA,0.9365,0.7730912973838763,2.002599161065015,0.679111312006602
LATR_3,3,4.57,1.6295,0.36150000000000015,1.6295,0,TRUE,2023-10-30 09:44:53,NA,0.9365,0.7399893219434063,2.002599161065015,0.6500333414648828
LATR_3,3,5.09,1.5752,0.41580000000000017,1.5752,0,TRUE,2023-10-30 12:36:04,NA,0.9365,0.6820074746396155,2.002599161065015,0.5990999930643875
LATR_3,3,5.75,1.5167,0.47430000000000017,1.5167,0,TRUE,2023-10-30 16:26:30,NA,0.9365,0.6195408435664709,2.002599161065015,0.5442270486550144
LATR_4,4,1.25,2.027,0,2.027,0,TRUE,10/27/2023 11:39,NA,0.9159,1.2131237034610765,2.1297680433732684,0.9153383731169972
LATR_4,4,1.53,1.9928,0.03420000000000023,1.9928,0,TRUE,10/27/2023 11:48,NA,0.9159,1.1757833824653343,2.1297680433732684,0.8871639762484872
LATR_4,4,2.08,1.943,0.08400000000000007,1.943,0,TRUE,10/27/2023 12:17,NA,0.9159,1.1214106343487278,2.1297680433732684,0.846138100106622
LATR_4,4,2.91,1.88,0.14700000000000024,1.88,0,TRUE,10/27/2023 14:03,NA,0.9159,1.0526258325144664,2.1297680433732684,0.7942378953488407
LATR_4,4,3.17,1.8279,0.19910000000000005,1.8279,0,TRUE,10/27/2023 14:41,NA,0.9159,0.9957418932197838,2.1297680433732684,0.7513172498269296
LATR_4,4,3.29,1.8048,0.22220000000000018,1.8048,0,TRUE,2023-10-27 15:09:24,NA,0.9159,0.9705207992138878,2.1297680433732684,0.7322871747490763
LATR_4,4,3.46,1.7883,0.23870000000000013,1.7883,0,TRUE,2023-10-27 15:26:43,NA,0.9159,0.9525057320668194,2.1297680433732684,0.7186942639791813
LATR_4,4,4.21,1.669,0.3580000000000001,1.669,0,TRUE,2023-10-30 08:39:34,NA,0.9159,0.8222513374822579,2.1297680433732684,0.62041340004897
LATR_4,4,4.55,1.6288,0.3982000000000001,1.6288,0,TRUE,2023-10-30 09:49:00,NA,0.9159,0.778360082978491,2.1297680433732684,0.5872961265368619
LATR_4,4,5.17,1.5556,0.47140000000000004,1.5556,0,TRUE,2023-10-30 12:43:55,NA,0.9159,0.6984386941805875,2.1297680433732684,0.5269930314849637
LATR_4,4,6.41,1.4578,0.5692000000000002,1.4578,0,TRUE,2023-10-30 16:34:09,NA,0.9159,0.5916584779997816,2.1297680433732684,0.4464241421943126
LATR_5,5,1.01,1.4471,0,1.4471,0,TRUE,10/27/2023 11:27,NA,0.6535,1.2143840856924255,1.5233412616248465,0.9123503735814633
LATR_5,5,2.21,1.4031,0.04400000000000004,1.4031,0,TRUE,10/27/2023 11:44,NA,0.6535,1.1470543228768173,1.5233412616248465,0.8617664314978135
LATR_5,5,2.42,1.3814,0.06570000000000009,1.3814,0,TRUE,10/27/2023 11:54,NA,0.6535,1.1138485080336649,1.5233412616248465,0.8368193509701953
LATR_5,5,2.69,1.3585,0.08860000000000001,1.3585,0,TRUE,10/27/2023 12:10,NA,0.6535,1.0788064269319053,1.5233412616248465,0.8104927083857505
LATR_5,5,2.97,1.3084,0.13870000000000005,1.3084,0,TRUE,10/27/2023 14:07,NA,0.6535,1.0021423106350422,1.5233412616248465,0.7528959925132312
LATR_5,5,3.11,1.2824,0.16470000000000007,1.2824,0,TRUE,10/27/2023 14:46,NA,0.6535,0.9623565416985463,1.5233412616248465,0.7230054812819836
LATR_5,5,3.25,1.2665,0.1806000000000001,1.2665,0,TRUE,10/27/2023 15:13,NA,0.6535,0.938026013771997,1.5233412616248465,0.7047262840290284
LATR_5,5,4.72,1.1422,0.30489999999999995,1.1422,0,TRUE,10/30/2023 8:46,NA,0.6535,0.7478194338179038,1.5233412616248465,0.5618266476427182
LATR_5,5,5.22,1.1095,0.3376000000000001,1.1095,0,TRUE,10/30/2023 9:57,NA,0.6535,0.6977811782708493,1.5233412616248465,0.5242335815941874
LATR_5,5,6.39,1.0534,0.39370000000000016,1.0534,0,TRUE,10/30/2023 12:58,NA,0.6535,0.6119357306809486,1.5233412616248465,0.45973905543753407
